Países,total casos,total muertes,total recuperados
USA,"98,166,904","1,084,282","94,962,112"
India,"44,587,307","528,629","44,019,095"
France,"35,342,950","155,078","34,527,115"
Brazil,"34,706,757","686,027","33,838,636"
Germany,"33,312,373","149,948","32,315,200"
S. Korea,"24,769,101","28,406","24,013,461"
UK,"23,621,952","189,919","23,347,871"
Italy,"22,432,803","177,054","21,779,604"
Japan,"21,229,216","44,678","20,380,089"
Russia,"20,948,470","387,163","19,979,763"
Turkey,"16,873,793","101,139","16,754,301"
Spain,"13,412,263","114,084","13,218,892"
Vietnam,"11,477,886","43,148","10,590,917"
Australia,"10,209,239","14,984","10,133,494"
Argentina,"9,708,420","129,897","9,563,348"
Netherlands,"8,422,336","22,643","8,362,464"
Iran,"7,548,320","144,421","7,325,370"
Mexico,"7,084,488","330,065","6,353,953"
Indonesia,"6,429,767","158,093","6,253,317"
Taiwan,"6,417,941","11,003","5,603,195"
Colombia,"6,307,372","141,794","6,134,690"
Poland,"6,289,672","117,539","5,335,940"
Portugal,"5,490,639","25,024","5,394,788"
Ukraine,"5,177,217","109,206","4,973,554"
Austria,"5,118,512","20,738","5,006,572"
Greece,"4,920,192","33,111","4,836,903"
Malaysia,"4,838,872","36,369","4,777,329"
DPRK,"4,772,813",74,"4,772,739"
Thailand,"4,681,309","32,767","4,642,083"
Israel,"4,661,096","11,698","4,641,394"
Chile,"4,620,377","61,141","4,540,886"
Belgium,"4,533,249","32,659","4,451,569"
Canada,"4,233,468","44,992","4,131,367"
Peru,"4,143,085","216,539","3,914,598"
Czechia,"4,100,480","41,059","4,035,333"
Switzerland,"4,084,307","14,183","4,012,833"
South Africa,"4,018,769","102,185","3,909,265"
Philippines,"3,945,566","62,916","3,854,478"
Romania,"3,267,370","67,016","3,180,124"
Denmark,"3,110,831","7,065","3,093,396"
Sweden,"2,588,441","20,194","2,548,125"
Iraq,"2,459,982","25,355","2,433,704"
Serbia,"2,359,530","17,000","2,298,536"
Hungary,"2,094,142","47,503","2,014,175"
Bangladesh,"2,024,489","29,362","1,964,501"
Singapore,"1,904,192","1,617","1,821,160"
Slovakia,"1,843,220","20,455","1,817,938"
Georgia,"1,780,691","16,900","1,637,293"
New Zealand,"1,779,476","2,959","1,767,660"
Hong Kong,"1,761,381","10,153","1,469,240"
Jordan,"1,746,997","14,122","1,731,007"
Ireland,"1,663,653","7,905","1,648,405"
Pakistan,"1,572,598","30,616","1,536,924"
Norway,"1,462,318","4,098","1,457,108"
Kazakhstan,"1,393,468","13,690","1,378,440"
Finland,"1,292,940","5,981","1,263,711"
Morocco,"1,264,935","16,278","1,248,543"
Bulgaria,"1,258,670","37,714","1,211,397"
Lithuania,"1,249,134","9,320","1,216,151"
Croatia,"1,231,575","16,902","1,209,524"
Lebanon,"1,215,511","10,674","1,087,587"
Slovenia,"1,181,073","6,820","1,145,051"
Tunisia,"1,145,686","29,249",N/A
Guatemala,"1,123,465","19,789","1,102,988"
Cuba,"1,111,179","8,530","1,102,548"
Bolivia,"1,108,195","22,234","1,051,789"
Costa Rica,"1,072,807","8,913","860,711"
UAE,"1,027,031","2,345","1,006,369"
Ecuador,"1,003,778","35,894","964,320"
Nepal,"999,712","12,018","986,617"
Belarus,"994,037","7,118","985,592"
Panama,"986,866","8,497","976,873"
Uruguay,"985,422","7,485","976,760"
